"","V1","V2","V3","V4","V5","V6","V7"
"47","47","-1.09230118670125","-0.279181632860972","5.09456076502061","3.27530084460881","-8.63455510400097","-8.06608563599193"
"48","48","-1.98651827205562","-1.01434106952676","-0.523803243798398","0.0316700312714523","-13.0024319033068","-16.9781704815443"
"49","49","-2.2864594216854","-0.127814896142535","1.29137349461089","0.368062309808641","-22.4471907920318","-19.8457589432389"
"50","50","-0.137687329006436","-0.690492178702073","4.30944697808789","3.26705881404017","-4.61333649378274","-4.2557953453576"
"51","51","-0.716735203617718","-0.0421403092961975","4.16148861397355","2.86492525873652","-12.2783635689147","-11.5953868720317"
"52","52","-0.665239682278549","-1.22117494861932","2.35697012206833","1.74549208555664","-3.29682962696282","-7.31182888774869"
"53","53","-2.36905591337883","-0.260870080312167","-0.249927835366642","0.360100946455919","-23.5927745857709","-23.3820657733593"
"54","54","-1.03187424447501","0.103806974986643","3.56069019321352","2.71159906494365","-10.144590175325","-13.662411177578"
"55","55","-1.54584896950714","-0.760812208064425","-0.223562518366035","-0.176876499924845","-13.1584481626768","-11.4265995571988"
"56","56","-0.861156653252762","-0.103556801638141","0.519118540970473","1.63188150503306","-5.6725089601897","-6.18841380901231"
"57","57","-1.3709668161872","-1.08583146948199","-0.479968549182286","0.316174294434467","-12.2665121996051","-14.0993699004259"
"58","58","-1.44895554544643","-0.875651820418431","1.89707362713547","1.80069767792696","-8.01957092438282","-11.8643500653746"
"59","59","-0.466736901625002","-0.136013829534688","4.73217354535613","3.48952943503115","-9.49000685487926","-9.26197485619395"
"60","60","-1.80030425358807","-1.20018666132021","-0.288293367374845","-0.323960807271876","-19.6160742007923","-17.2705129867997"
"61","61","-1.57699275008809","-0.447198769099185","2.09772594476769","1.85316780060738","-17.0583367970293","-16.6792387333932"
"62","62","-2.36102802123658","-0.832764077918361","0.858231878634258","1.03142370216117","-22.2758075761464","-18.5815448488458"
"63","63","-0.577515438223254","-0.245971069562108","6.77973946556584","3.51347788116325","-5.7032549100561","-6.72295585682055"
"64","64","0.211062647063503","-0.106914828368248","6.76508896005363","3.67190643624351","-3.2659626568032","-0.136461915306139"
"65","65","-1.24090788172443","-0.635908057850681","2.19357932228599","0.999290845980375","-16.4929922747801","-15.1392769152206"
"66","66","-1.97927374687444","-0.39917812103445","2.33189162009496","1.90530561065336","-19.3592179831023","-15.5952293249776"
"67","67","-1.96490695330411","-0.437726412316964","0.489415844742026","1.06211455293683","-20.7242608002028","-20.0984098863859"
"68","68","0.276883606585279","-0.0586041348941701","6.95642381851204","5.41724205576262","0.154122743505285","-0.847843526365934"
"69","69","-1.16278332034673","-0.137866688875579","5.11473734952316","3.42784313305359","-8.2732195035645","-6.43426892312681"
"70","70","-1.13149910188711","-0.526568061460886","4.82335214384947","4.02646235438832","-12.5155932519254","-12.7608986286586"
"71","71","-2.40097818818605","-0.994003439010908","-2.00226475827494","-0.736720236449067","-20.7845804596419","-19.6201525670994"
"72","72","-0.885452635528062","0.37818330950066","4.20298533709536","4.27223820858996","-7.96536380896397","-8.1564949238956"
"73","73","-2.07720833207717","0.10694945760812","2.55911872702282","1.86188738264024","-19.7560158785205","-18.1543673129265"
"74","74","-1.10758128930783","0.0144683267690119","3.94236281860439","3.30112369962599","-14.6628078779851","-13.9190101180096"
"75","75","-1.54784591901422","-0.525286055089086","-0.590399417527352","0.402367360129728","-12.9692696563068","-15.3342007616847"
"76","76","-2.49711869127538","-0.136140091302942","0.430563318121901","0.771826908493183","-24.6197833700526","-24.1778881769823"
"77","77","-1.32796062942268","0.22326705025039","3.0946749415786","1.80616696173381","-10.9331329731059","-15.0093220427211"
"78","78","-0.774064680341243","-0.358731365970959","5.20611174004482","4.01845506735448","-7.70115090870765","-5.49941201677955"
"79","79","0.552824681163556","-0.496758862839938","5.72962862455342","3.56645760366784","-0.190739213732657","-0.357518156186824"
"80","80","-2.28511893338362","-0.509308809713673","1.77603794274151","0.78882605654815","-21.6136510914206","-19.8234743244219"
"81","81","-0.0821755107192446","-0.00174680993535041","5.13704200198567","3.92883844510499","-0.200585914578962","-2.4955683336716"
"82","82","-2.06537061077467","-0.645923878008","1.54769351963309","1.40209925419435","-13.7180049318662","-16.5621669989887"
"83","83","-0.196380834362282","0.188206598655408","6.94427298564696","3.24595741356692","-2.76621543425423","-2.46027835578992"
